NO_UF,Indice_infra,SG_UF,CO_UF,NO_MUNICIPIO,CO_MUNICIPIO,QT_MAT_BAS,QT_MAT_INF,QT_MAT_INF_CRE,QT_MAT_INF_PRE,QT_MAT_FUND,QT_MAT_MED,QT_MAT_PROF,QT_MAT_INF_INT,QT_MAT_INF_CRE_INT,QT_MAT_INF_PRE_INT,QT_MAT_FUND_INT,QT_MAT_MED_INT,ano
['Bahia'],0.35996237298826994,['BA'],[29],['Inhambupe'],[2913705],8994.0,1327.0,377.0,950.0,5265.0,1431.0,89.0,203.0,73.0,130.0,152.0,0.0,['2018']
['Sergipe'],0.40616031627484284,['SE'],[28],['Itabaianinha'],[2803005],10478.0,1399.0,321.0,1078.0,6274.0,1858.0,0.0,148.0,110.0,38.0,465.0,0.0,['2018']
['Bahia'],0.3958482368209178,['BA'],[29],['Itaberaba'],[2914703],15142.0,2148.0,934.0,1214.0,7882.0,3105.0,1565.0,353.0,318.0,35.0,365.0,5.0,['2018']
['Bahia'],0.3700968565990656,['BA'],[29],['Itagibá'],[2915205],3573.0,447.0,63.0,384.0,2268.0,435.0,0.0,63.0,63.0,0.0,478.0,15.0,['2018']
['Bahia'],0.3238686160303032,['BA'],[29],['Itapicuru'],[2916500],8252.0,956.0,103.0,853.0,5419.0,892.0,0.0,75.0,75.0,0.0,0.0,0.0,['2018']
['Sergipe'],0.5228972035042313,['SE'],[28],['Lagarto'],[2803500],20714.0,3128.0,1225.0,1903.0,11837.0,3777.0,642.0,166.0,166.0,0.0,582.0,539.0,['2018']
['Bahia'],0.3105148102983442,['BA'],[29],['Lagoa Real'],[2918753],2569.0,374.0,94.0,280.0,1568.0,450.0,0.0,0.0,0.0,0.0,67.0,0.0,['2018']
['Bahia'],0.303989967587582,['BA'],[29],['Lajedinho'],[2919009],1008.0,172.0,78.0,94.0,551.0,113.0,0.0,93.0,78.0,15.0,0.0,0.0,['2018']
['Piauí'],0.4671705384127441,['PI'],[22],['Luzilândia'],[2205805],7500.0,1200.0,566.0,634.0,3998.0,861.0,0.0,0.0,0.0,0.0,655.0,195.0,['2018']
['Maranhão'],0.3226052921941148,['MA'],[21],['Mirador'],[2106706],5376.0,846.0,262.0,584.0,3366.0,831.0,0.0,0.0,0.0,0.0,0.0,0.0,['2018']
['Maranhão'],0.28926238101645324,['MA'],[21],['Monção'],[2106904],12454.0,2649.0,1345.0,1304.0,5978.0,1109.0,0.0,3.0,0.0,3.0,2780.0,0.0,['2018']
['Bahia'],0.273961265969241,['BA'],[29],['Nova Canaã'],[2922706],3448.0,482.0,172.0,310.0,2145.0,362.0,0.0,161.0,117.0,44.0,245.0,0.0,['2018']
['Bahia'],0.5516093805566565,['BA'],[29],['Nova Viçosa'],[2923001],10486.0,1771.0,631.0,1140.0,6439.0,1535.0,0.0,632.0,631.0,1.0,94.0,88.0,['2018']
